id,isim,yas,ulke,puan,potansiyel,kulup
20801,C. Ronaldo,34,Portekiz,94,94,Real Madrid CF
158023,L. Messi,30,Arjantin,93,93,FC Barcelona
182494,F. Muslera,31,Uruguay,82,82,Galatasaray SK
167495,M. Neuer,31,Almanya,92,92,FC Bayern Munich
188545,R. Lewandowski,28,Polonya,91,91,FC Bayern Munich
183277,E. Hazard,26,Belcika,90,91,Chelsea
182521,T. Kroos,27,Almanya,90,90,Real Madrid CF
155862,Sergio Ramos,31,ispanya,90,90,Real Madrid CF
192985,K. De Bruyne,26,Belcika,89,92,Manchester City
192119,T. Courtois,25,Belcika,89,92,Chelsea
184941,A. Sanchez,28,Şili,89,89,Arsenal
177003,L. Modric,31,Hırvatistan,89,89,Real Madrid CF
138956,G. Chiellini,32,İtalya,89,89,Juventus
1179,G. Buffon,39,İtalya,89,89,Juventus
211110,P. Dybala,23,Arjantin,88,93,Juventus
194765,A. Griezmann,26,Fransa,88,91,Atletico Madrid
116494,C. Carrasso,35,Fransa,81,81,Galatasaray SK
184344,L. Bonucci,30,İtalya,88,88,Milan
183907,J. Boateng,28,Almanya,88,88,FC Bayern Munich
212198,Bruno Fernandes,34,Portekiz,78,85,Sporting CP
178603,M. Hummels,28,Almanya,88,88,FC Bayern Munich
167948,H. Lloris,30,Fransa,88,88,Tottenham Hotspur
164240,Thiago Silva,32,Brezilya,88,88,Paris Saint-Germain
41236,Z. Ibrahimovic,35,Isvec,88,88,Manchester United
9014,A. Robben,33,Hollanda,88,88,FC Bayern Munich
199556,M. Verratti,24,İtalya,87,91,Paris Saint-Germain
195864,P. Pogba,24,Fransa,87,92,Manchester United
181872,A. Vidal,30,Şili,87,87,FC Bayern Munich
189156,Daniel Carrio,28,Portekiz,80,81,Sevilla FC
179813,E. Cavani,30,Uruguay,87,87,Paris Saint-Germain
176676,Marcelo,29,Brezilya,87,87,Real Madrid CF
168542,David Silva,31,ispanya,87,87,Manchester City
152729,Pique,30,ispanya,87,87,FC Barcelona
41,Iniesta,33,ispanya,87,87,FC Barcelona
202126,H. Kane,23,İngiltere,86,90,Tottenham Hotspur
197781,Isco,25,ispanya,86,90,Real Madrid CF
197445,D. Alaba,25,Avusturya,86,88,FC Bayern Munich
7826,R. van Persie,33,Hollanda,78,78,Fenerbahçe SK
192505,R. Lukaku,24,Belcika,86,90,Manchester United
191043,Alex Sandro,26,Brezilya,86,88,Juventus
189511,Sergio Busquets,28,ispanya,86,86,FC Barcelona
189242,Coutinho,25,Brezilya,86,89,Liverpool
188350,M. Reus,28,Almanya,86,86,Borussia Dortmund
184087,T. Alderweireld,28,Belcika,86,87,Tottenham Hotspur
179944,David Luiz,30,Brezilya,86,86,Chelsea
179844,Diego Costa,28,ispanya,86,86,Chelsea
178518,R. Nainggolan,29,Belcika,86,86,Roma
211119,Pedro Santos,29,Portekiz,78,78,Columbus Crew SC
175943,D. Mertens,30,Belcika,86,86,Napoli
172879,Sokratis,29,Yunanistan,86,86,Borussia Dortmund
168609,Miranda,32,Brezilya,86,86,Inter
177326,M. Valbuena,32,Fransa,81,81,Fenerbahçe SK
165153,K. Benzema,29,Fransa,86,86,Real Madrid CF
170797,N. Sahin,28,Turkiye,79,79,Borussia Dortmund
156616,F. Ribéry,34,Fransa,86,86,FC Bayern Munich
184942,Giuliano,27,Brezilya,81,82,Fenerbahçe SK
199482,A. Lopes,26,Portekiz,83,86,Olympique Lyonnais
120533,Pepe,34,Portekiz,86,86,Besiktas JK
208418,Y. Carrasco,23,Belcika,85,90,Atletico Madrid
201535,R. Varane,24,Fransa,85,92,Real Madrid CF
200145,Casemiro,25,Brezilya,85,89,Real Madrid CF
198219,L. Insigne,26,İtalya,85,86,Napoli
194079,A. Potuk,26,Turkiye,77,80,Fenerbahçe SK
185239,O. Toprak,27,Turkiye,83,84,Borussia Dortmund
193301,A. Lacazette,26,Fransa,85,88,Arsenal
192563,B. Leno,25,Almanya,85,88,Bayer 04 Leverkusen
192448,M. ter Stegen,25,Almanya,85,89,FC Barcelona
190547,K. Glik,29,Polonya,85,85,AS Monaco
189332,Jordi Alba,28,ispanya,85,85,FC Barcelona
