Ulke,2017,2018,2019,2020,2021
Hungary,0,0,0,0,0
Turkey,0,5.4,3.3,3.4,10.3
Greece,11.1,12.5,12.5,12.5,11.1
Slovakia,16.7,15.4,15.4,15.4,15.4
Estonia,0,14.3,14.3,14.3,16.7
Poland,21,23.3,27.9,27.4,21
Serbia,0,23.1,23.1,23.1,21.4
Cyprus,25,25,25,22.2,22.2
Croatia,28.6,28.6,28.6,28.6,28.6
Kosovo,0,28.6,28.6,28.6,28.6
Czechia,30,33.3,20,20,30
Italy,0,30.4,30.4,30.4,30.4
Lithuania,32.1,36.4,36.4,38.2,33.3
Instrument for Pre-accession Assistance (IPA) beneficiaries,0,30.4,31.1,31.3,33.3
Montenegro,0,33.8,33.8,33.8,33.8
Belgium,40,50,46.2,46.2,38.5
Finland,46.7,42.9,46.2,38.5,38.5
France,36.8,47.4,30,40,40
Malta,15.4,40,45.5,45.5,40
United Kingdom,38.3,26.7,26.7,26.7,40
European Union - 27 countries (from 2020),36.7,37.8,38,38.6,40.3
European Union - 28 countries (1993-2020),37,37.6,37.8,38.4,40.3
Portugal,33.3,36.4,41.7,41.7,41.7
Austria,30.2,27.9,28.6,29.5,42.9
Romania,0,44.9,44.9,44.9,44.9
Germany,36.6,40.2,40.2,38.5,45.1
Ireland,50,50,47.6,40.9,45.5
Norway,0,52.4,45.5,45.5,45.5
Denmark,37,38.5,40.7,46.2,48
Bulgaria,44.4,36.4,40,50,50
Netherlands,33.3,33.3,16.7,50,50
EEA countries (non-EU),0,51.4,52.6,48.6,50
North Macedonia,0,51.9,51.9,51.9,51.9
Sweden,59.8,57.1,56,57.6,53.3
Iceland,0,36.4,54.5,45.5,54.5
Luxembourg,55.6,55.6,44.4,55.6,55.6
Spain,40,38.5,58.3,50,56.4
Slovenia,42.9,42.9,42.9,42.9,57.1
Albania,0,44.4,44.4,44.4,57.1
Bosnia and Herzegovina,0,42.9,42.9,42.9,57.1
Liechtenstein,0,80,80,75,60
Latvia,36.4,40.9,31.8,40.9,76.5
