ulke,yıl,sehir,kirsal
Argentina,1960,15177907,5441168
Argentina,1961,15550745,5402332
Argentina,1962,15916161,5371521
Argentina,1963,16283191,5338649
Argentina,1964,16650738,5303191
Argentina,1965,17017602,5265788
Argentina,1966,17383414,5225334
Argentina,1967,17749066,5183137
Argentina,1968,18120768,5140510
Argentina,1969,18505677,5100310
Argentina,1970,18909948,5063110
Argentina,1971,19327703,5038736
Argentina,1972,19762667,5020282
Argentina,1973,20210548,5002840
Argentina,1974,20661009,4983497
Argentina,1975,21106169,4960806
Argentina,1976,21543399,4933753
Argentina,1977,21974571,4903994
Argentina,1978,22405664,4872077
Argentina,1979,22844170,4840364
Argentina,1980,23296127,4809761
Argentina,1981,23780333,4763031
Argentina,1982,24285074,4708913
Argentina,1983,24799122,4655616
Argentina,1984,25319368,4601536
Argentina,1985,25842013,4546770
Argentina,1986,26365972,4491272
Argentina,1987,26891584,4434889
Argentina,1988,27418228,4377289
Argentina,1989,27944438,4319123
Argentina,1990,28469636,4260103
Argentina,1991,28987585,4206333
Argentina,1992,29462392,4192759
Argentina,1993,29933012,4177905
Argentina,1994,30397318,4160797
Argentina,1995,30852828,4141986
Argentina,1996,31298956,4120726
Argentina,1997,31735996,4097973
Argentina,1998,32167673,4073917
Argentina,1999,32599189,4048879
Argentina,2000,33033754,4023698
Argentina,2001,33472924,3998585
Argentina,2002,33914775,3974595
Argentina,2003,34358150,3951229
Argentina,2004,34801606,3927090
Argentina,2005,35243074,3902414
Argentina,2006,35682119,3876771
Argentina,2007,36119493,3850731
Argentina,2008,36558177,3824212
Argentina,2009,37001390,3798017
Argentina,2010,37451491,3772398
Argentina,2011,37903594,3753285
Argentina,2012,38358970,3737769
Argentina,2013,38817256,3722669
Argentina,2014,39275219,3706296
Argentina,2015,39728558,3689207
Argentina,2016,40176085,3671345
Argentina,2017,40618237,3652804
Bulgaria,1960,2918796,4948578
Bulgaria,1961,3080500,4862618
Bulgaria,1962,3244762,4768184
Bulgaria,1963,3411401,4666744
Bulgaria,1964,3582451,4561889
Bulgaria,1965,3753817,4450351
Bulgaria,1966,3900528,4357529
Bulgaria,1967,4030377,4279849
Bulgaria,1968,4165384,4204219
Bulgaria,1969,4304295,4129877
Bulgaria,1970,4440047,4049527
Bulgaria,1971,4555020,3981375
Bulgaria,1972,4667082,3909118
Bulgaria,1973,4782137,3838830
Bulgaria,1974,4905140,3773605
Bulgaria,1975,5019834,3700908
Bulgaria,1976,5126058,3632541
Bulgaria,1977,5232150,3572033
Bulgaria,1978,5317153,3496879
Bulgaria,1979,5402887,3423053
Bulgaria,1980,5503013,3358522
Bulgaria,1981,5566106,3325011
Bulgaria,1982,5627272,3290185
Bulgaria,1983,5685942,3253796
Bulgaria,1984,5743706,3216973
Bulgaria,1985,5787617,3172930
Bulgaria,1986,5822722,3135449
Bulgaria,1987,5862424,3108935
Bulgaria,1988,5900092,3081354
Bulgaria,1989,5861908,3015064
Bulgaria,1990,5786939,2931350
Bulgaria,1991,5759256,2873111
Bulgaria,1992,5726692,2813472
Bulgaria,1993,5704408,2767905
Bulgaria,1994,5704237,2739354
Bulgaria,1995,5697800,2708267
Bulgaria,1996,5687307,2675519
Bulgaria,1997,5671407,2640661
Bulgaria,1998,5652100,2604686
Bulgaria,1999,5638810,2571814
Bulgaria,2000,5629167,2541005
Bulgaria,2001,5539603,2469539
Bulgaria,2002,5448708,2388453
Bulgaria,2003,5433321,2342006
Bulgaria,2004,5419782,2297078
Bulgaria,2005,5406009,2252963
Bulgaria,2006,5391557,2209465
Bulgaria,2007,5378166,2167172
Bulgaria,2008,5366322,2126239
Bulgaria,2009,5357245,2087198
Bulgaria,2010,5347166,2048433
Bulgaria,2011,5337678,2010650
Bulgaria,2012,5331472,1974416
Bulgaria,2013,5326274,1938841
Bulgaria,2014,5320503,1903435
Bulgaria,2015,5310996,1866995
Bulgaria,2016,5298039,1829783
Bulgaria,2017,5283572,1792419
Germany,1960,51978188,20836712
Germany,1961,52609561,20768071
Germany,1962,53122383,20903401
Germany,1963,53664331,21050022
Germany,1964,54147106,21171231
Germany,1965,54659677,21304018
Germany,1966,55166778,21433533
Germany,1967,55468832,21482504
Germany,1968,55765529,21528785
Germany,1969,56259360,21650322
Germany,1970,56496072,21673217
Germany,1971,56645245,21667597
Germany,1972,56961784,21726668
Germany,1973,57186457,21750209
Germany,1974,57253758,21713675
Germany,1975,57085531,21588023
Germany,1976,56885943,21451007
Germany,1977,56801863,21357951
Germany,1978,56796181,21295639
Germany,1979,56865826,21260524
Germany,1980,57028530,21260046
Germany,1981,57229147,21178760
Germany,1982,57267174,21066192
Germany,1983,57114118,21014164
Germany,1984,56792461,21066224
Germany,1985,56485448,21199425
Germany,1986,56438249,21282187
Germany,1987,56695484,21144436
Germany,1988,57044790,21099829
Germany,1989,57469536,21281747
Germany,1990,58079842,21353187
Germany,1991,58625381,21388515
Germany,1992,59146205,21478393
Germany,1993,59647492,21508871
Germany,1994,60028206,21410142
Germany,1995,60378049,21300002
Germany,1996,60725922,21188909
Germany,1997,60986289,21048482
Germany,1998,61167004,20880191
Germany,1999,61376500,20723743
Germany,2000,61629857,20581651
Germany,2001,61902439,20447486
Germany,2002,62174878,20313617
Germany,2003,62376854,20157322
Germany,2004,62529997,19986263
Germany,2005,62660267,19809155
Germany,2006,62753557,19622894
Germany,2007,62833410,19432962
Germany,2008,62875807,19234290
Germany,2009,62877220,19025087
Germany,2010,62940432,18836498
Germany,2011,61940177,18334806
Germany,2012,62064608,18361215
Germany,2013,62242278,18403327
Germany,2014,62510392,18472108
Germany,2015,63062064,18624547
Germany,2016,63592936,18755733
Germany,2017,63890984,18804016
Japan,1960,58526962,33973610
Japan,1961,60965749,33977251
Japan,1962,62428798,33403202
Japan,1963,63957880,32854120
Japan,1964,65516029,32309971
Japan,1965,67107937,31775063
Japan,1966,68559722,31230278
Japan,1967,70019991,30705009
Japan,1968,71062053,29998947
Japan,1969,73357355,29814645
Japan,1970,75000056,29344944
Japan,1971,76805782,28891218
Japan,1972,78731730,28456270
Japan,1973,80216234,27862766
Japan,1974,82593959,27568041
Japan,1975,84756490,27183510
Japan,1976,85642808,27128192
Japan,1977,86538157,27324843
Japan,1978,87391419,27506581
Japan,1979,88197927,27672073
Japan,1980,88958689,27823311
Japan,1981,89733659,27914341
Japan,1982,90474900,27974100
Japan,1983,91224787,28034213
Japan,1984,91937389,28080611
Japan,1985,92632808,28121192
Japan,1986,93348378,28143622
Japan,1987,93963675,28127325
Japan,1988,94519909,28093091
Japan,1989,95061557,28054443
Japan,1990,95542280,27994720
Japan,1991,96005316,27915684
Japan,1992,96414127,27814873
Japan,1993,96821759,27714241
Japan,1994,97320876,27640124
Japan,1995,97862490,27576510
Japan,1996,98272808,27484192
Japan,1997,98667335,27389665
Japan,1998,99095072,27304928
Japan,1999,99434460,27196540
Japan,2000,99760751,27082249
Japan,2001,101706485,25442515
Japan,2002,104055019,23389981
Japan,2003,106256267,21461733
Japan,2004,108136910,19624090
Japan,2005,109856670,17916330
Japan,2006,111383848,16470152
Japan,2007,112827761,15173239
Japan,2008,114107975,13955025
Japan,2009,115228215,12818785
Japan,2010,116302928,11767072
Japan,2011,116416235,11416765
Japan,2012,116331281,11297719
Japan,2013,116262976,11182024
Japan,2014,116208079,11067921
Japan,2015,116182717,10958283
Japan,2016,116145370,10849141
Japan,2017,116053379,10732418
