donor,recipient,commitment_amount_usd_constant,coalesced_purpose_name
Belgium,India,18094,Social/ welfare services
Japan,Thailand,166822,Social/welfare services
Japan,Thailand,499,Environmental policy and admin. mgmt
Japan,Thailand,2049591,Engineering
Austria,India,9686,Energy policy and administrative management
Italy,Colombia,84805,Education policy and administrative management
Germany,Brazil,708811,Education facilities and training
Sweden,Colombia,119740,"Civilian peace-building, conflict prevention and resolution"
Luxembourg,India,23585,Strengthening civil society
Austria,Thailand,7853,Health policy and administrative management
Belgium,Brazil,7238,Social/ welfare services
Spain,India,21140,Sectors not specified
Denmark,South Africa,6842,Sectors not specified
France,Chile,96836,Multisector aid
Germany,South Africa,70640,Economic and development policy/planning
Germany,South Africa,12233,Higher education
Germany,South Africa,14148,STD control including HIV/AIDS
Germany,South Africa,77599,Higher education
Germany,India,13536239,Sectors not specified
Germany,Brazil,1203,Higher education
Germany,Brazil,30238,Education policy and administrative management
Germany,Brazil,9195898,Bio-diversity
Germany,Brazil,92473,Social/ welfare services
Germany,Chile,150195,Support to national NGOs
Germany,Chile,191010,Environmental education/training
Germany,Chile,14600,Environmental policy and administrative management
Germany,Colombia,8344,Government administration
Germany,Colombia,11170,Formal sector financial intermediaries
Germany,Colombia,9873,Multisector aid
Germany,Colombia,13016,Higher education
Italy,Brazil,10954,Vocational training
Italy,Brazil,15553,Early childhood education
Italy,Brazil,9894,Higher education
Italy,Brazil,70671,Business support services and institutions
Italy,Brazil,84805,Agricultural land resources
Norway,South Africa,32714,Strengthening civil society
Norway,South Africa,9277,Telecommunications
Norway,South Africa,5929,Health personnel development
Norway,South Africa,4639,Technological research and development
Norway,Brazil,45784,Higher education
Norway,Brazil,60502,Strengthening civil society
Norway,India,151794,Industrial development
Norway,India,10685,Promotion of development awareness
Norway,Thailand,2436,"Civilian peace-building, conflict prevention and resolution"
Norway,Thailand,11368,"Civilian peace-building, conflict prevention and resolution"
Portugal,Brazil,19036,Social/ welfare services
Portugal,India,4158,Social/ welfare services
Sweden,South Africa,19790,Multisector education/training
Sweden,South Africa,83652,Multisector education/training
Sweden,Brazil,29441,Multisector education/training
Switzerland,Colombia,67798,Multisector aid
Switzerland,Colombia,420328,Administrative costs
United Kingdom,South Africa,23836,Energy policy and admin. management
United Kingdom,South Africa,50599,Energy policy and admin. management
United Kingdom,Brazil,3045,Strengthening civil society
United Kingdom,India,6907153,Education policy and administrative management
United Kingdom,India,88003,Strengthening civil society
United Kingdom,India,31787,Higher education
United Kingdom,India,5340536,Social/ welfare services
United Kingdom,Thailand,11504,Strengthening civil society
Japan,South Africa,43168,Primary education
Finland,South Africa,57580,Environmental policy and administrative management
Finland,South Africa,287898,Multisector aid
Finland,Colombia,863694,Post-conflict peace building (un)
Ireland,South Africa,136210,STD control including HIV/AIDS
Ireland,South Africa,17707,Teacher training
Australia,Thailand,7854,Fishery research
Spain,Brazil,302555,Education facilities and training
Spain,Colombia,884141,Sectors not specified
Spain,Colombia,12013,Sectors not specified
Spain,Brazil,10503,Culture and recreation
Spain,Brazil,34976,Basic drinking water supply and basic sanitation
Spain,Brazil,599757,Administrative costs
Spain,Chile,101678,Higher education
Spain,Chile,32415,Environmental research
Spain,Chile,2114,Medical research
Spain,Colombia,169618,Primary education
Spain,Colombia,375071,Sectors not specified
Spain,Colombia,7334,Economic and development policy/planning
Spain,Colombia,6342,Promotion of development awareness
Spain,Colombia,6892,Government administration
Spain,Colombia,1550,Promotion of development awareness
Spain,Colombia,191459,Sectors not specified
Spain,Colombia,9709,Sectors not specified
Spain,Colombia,2275,Urban development and management
Spain,Colombia,2818729,"Civilian peace-building, conflict prevention and resolution"
Spain,Colombia,140936,Basic health care
Spain,Colombia,14094,Sectors not specified
Spain,Colombia,3946,Technological research & development
Spain,India,7329,Medical education/training
Spain,India,91609,Sectors not specified
Spain,India,33937,Strengthening civil society
Spain,Thailand,12712,Administrative costs
Canada,South Africa,893,Medical services
Canada,South Africa,25171,Government administration
Canada,South Africa,53302,Public sector policy and adm. management
Canada,Brazil,6457,Waste management/disposal
Canada,Brazil,201639,Infectious disease control
Canada,Chile,5757,Primary education
Canada,Colombia,2744195,Basic life skills for youth and adults
Canada,India,11084,Women's equality organisations and institutions
Canada,India,6145,Basic drinking water supply and basic sanitation
Canada,India,17757,Teacher training
Canada,India,87890,Women's equality organisations and institutions
Canada,India,2820,Promotion of development awareness
Canada,Thailand,12096,Infectious disease control
Canada,Thailand,1291,Trade policy and administrative management
United States,South Africa,21729,Bio-diversity
United States,South Africa,2727168,Std control including hiv/aids
Norway,Brazil,11979,Basic life skills for youth and adults
Spain,India,47637,Sectors not specified
Canada,Colombia,124264,Infectious & Parasitic disease control
United States,Colombia,45630,Business support services and institutions
Germany,Thailand,2450,Formal sector financial intermediaries
Canada,South Africa,43703,Higher education
Australia,South Africa,22403,Multisector aid
United States,Brazil,6394544,Social/ welfare services
United States,Colombia,10350,Power generation/renewable sources
United States,Colombia,328001,Agricultural development
United States,Colombia,30014,Bio-diversity
United States,India,16838,Bio-diversity
United States,Thailand,21780,Security system management and reform
United States,Thailand,2587412,Material relief assistance and services
United States,Thailand,687,Business support services & institutions
Japan,Brazil,38742,Sectors not specified
Japan,Brazil,28539,Waste management/disposal
Japan,Chile,38328,Sectors not specified
Japan,Colombia,61590,Engineering
Japan,Thailand,244755,Transport policy and administrative management
Japan,Thailand,72485,Primary education
Australia,India,199769,Agricultural water resources
Korea,Brazil,171646,Higher education
Australia,Thailand,12583,Fishery development
Italy,India,79766,Medical services
Italy,India,35335,Social/ welfare services
Germany,South Africa,7050,Promotion of development awareness
Japan,India,835909,Sectors not specified
Belgium,South Africa,60289,Teacher training
Belgium,South Africa,76814,Vocational training
Belgium,South Africa,13505,Tourism policy and administrative management
Belgium,South Africa,18094,Education facilities and training
Belgium,South Africa,361681,STD control including HIV/AIDS
Belgium,South Africa,636908,Culture and recreation
Belgium,South Africa,52111,Early childhood education
Belgium,South Africa,5790,STD control including HIV/AIDS
Belgium,South Africa,135861,Rural development
Belgium,South Africa,43439,Sectors not specified
United States,Brazil,13454542,Financial policy and administrative management
Korea,Thailand,3881639,Communications policy and administrative management
United States,India,6447830,Energy policy and admin. management
France,South Africa,8903184,Transport policy and administrative management
Belgium,Brazil,137924,Food crop production
Italy,Brazil,282684,Social/ welfare services
Italy,Brazil,70671,Cottage industries and handicraft
Italy,Brazil,19505,Higher education
Italy,Brazil,10195,Strengthening civil society
Luxembourg,India,89503,Agricultural development
Japan,Colombia,519995,River development
Australia,India,142579,Agricultural research
United Kingdom,India,406,Agricultural research
Spain,Brazil,27528,Sectors not specified
Japan,Thailand,15320135,Engineering
Japan,Chile,73872,Advanced technical and managerial training
Denmark,South Africa,78191,Sectors not specified
Switzerland,South Africa,222493,Multisector aid
Spain,Brazil,33108,Teacher training
Spain,Brazil,110918,Sectors not specified
Spain,Brazil,364341,Culture and recreation
Spain,Colombia,216527,Sectors not specified
Japan,South Africa,92586,Higher education
Japan,Brazil,58088,Higher education
Italy,Brazil,36749,Higher education
United Kingdom,Brazil,3011,Strengthening civil society
Sweden,South Africa,1259,Administrative costs
Japan,Thailand,960488,Vocational training
United Kingdom,Brazil,48941,Narcotics control
Italy,Colombia,20011,Basic life skills for youth and adults
Italy,Colombia,63604,Strengthening civil society
Australia,Thailand,5788,Fishery research
Germany,Chile,176844,Higher education
Canada,Colombia,35513,Multisector aid
Spain,Colombia,22888,Strengthening civil society
United Kingdom,India,136978,Energy policy and admin. management
United Kingdom,India,100251,Power generation/renewable sources
Belgium,India,18094,Social/ welfare services
United Kingdom,India,363652,Post-conflict peace-building (UN)
United Kingdom,India,96343,Public sector financial management
United Kingdom,India,66079,Environmental policy and administrative management
Belgium,India,1448,Low-cost housing
United Kingdom,India,33310,Energy research
Belgium,India,2128034,Primary education
Belgium,India,10856,Basic health care
Belgium,India,20178,Material relief assistance and services
Belgium,India,27966,Higher education
Belgium,India,7238,Multisector aid for social services
United Kingdom,India,2910,Energy policy and admin. management
Belgium,India,100979,Agricultural co-operatives
Belgium,India,356923,Reconstruction relief and rehabilitation
Japan,Thailand,154455,Vocational training
France,Brazil,92052,"Agriculture, purpose unspecified or does not fit under any other applicable codes"
Denmark,South Africa,68417,Sectors not specified
Denmark,South Africa,70568,Sectors not specified
Japan,Thailand,24843,Economic and development policy/planning
France,Brazil,1424,"Forestry, purpose unspecified or does not fit under any other applicable codes"
France,Brazil,8260,Basic health care
France,Brazil,759438,Secondary education
France,Brazil,820006,Primary education
France,Brazil,6257276,Administrative costs
France,Chile,1572645,Administrative costs
France,Chile,703645,Secondary education
France,Chile,172469,Multisector aid
France,Chile,141031,Administrative costs
Japan,Thailand,5010,Energy policy and admin. management
Japan,Thailand,158,Industrial policy and administrative management
Japan,Thailand,243,Sectors not specified
Japan,Thailand,21049,Legal and judicial development
Belgium,Colombia,202985,Strengthening civil society
Belgium,Chile,15064,Environmental policy and administrative management
Belgium,Brazil,11580,Social/ welfare services
Belgium,Brazil,88150,Agricultural policy and administrative management
Belgium,Brazil,199221,Social/welfare services
Belgium,Brazil,143188,Agricultural development
Belgium,Brazil,62672,Agricultural policy and administrative management
Belgium,Brazil,137924,Employment policy and admin. mgmt.
Belgium,Brazil,21713,Multisector aid for social services
Belgium,Chile,33293,Agricultural education/training
Belgium,Brazil,67874,Vocational training
Belgium,Brazil,281905,Agricultural policy and administrative management
Belgium,Chile,28777,Basic drinking water supply and basic sanitation
Belgium,Chile,62243,Environmental research
Belgium,Chile,108564,Tourism policy and administrative management
Belgium,Colombia,27815,Democratic participation and civil society
Belgium,Colombia,57901,Reintegration and SALW control
Austria,India,19011,Social/ welfare services
Belgium,Colombia,53016,Democratic participation and civil society
Austria,Brazil,52150,Environmental policy and administrative management
Australia,India,211609,Agricultural land resources
Austria,Brazil,399871,Secondary education
Austria,Brazil,5638,Multisector aid
Australia,India,297006,Agricultural land resources
Australia,India,277388,Agricultural land resources
Austria,Chile,1879,Education policy and administrative management
Austria,Chile,55256,Higher education
Australia,India,402847,Agricultural land resources
Austria,Colombia,29148,Higher education
Australia,India,54677,Agricultural research
Australia,India,37193,Agricultural land resources
Switzerland,India,568011,Biosphere protection
Austria,India,46269,Education facilities and training
Austria,India,14457,Social/ welfare services
Switzerland,India,90882,Multisector aid
Switzerland,India,5055301,Biosphere protection
Italy,Brazil,19595,Education facilities and training
Italy,Brazil,13212,Education facilities and training
France,South Africa,105248,Health policy and administrative management
Austria,Colombia,36577,Biosphere protection
Austria,Colombia,17349,Vocational training
Italy,Colombia,84593,Strengthening civil society
Italy,Brazil,70671,Higher education
Italy,Colombia,141342,Radio/television/print media
Italy,Colombia,353354,Education policy and administrative management
Italy,Colombia,45422,Higher education
Austria,South Africa,43372,STD control including HIV/AIDS
Belgium,South Africa,64415,Small and medium-sized enterprises (SME) development
Belgium,India,8452,Primary education
France,Colombia,1382181,Administrative costs
France,India,348566,Multisector aid
Germany,South Africa,7050,Multisector education/training
Germany,South Africa,222272,Vocational training
Germany,South Africa,510836,Social/ welfare services
Germany,South Africa,13370,Social/ welfare services
Germany,South Africa,48182,Multisector aid
Germany,South Africa,333408,Strengthening civil society
Germany,Brazil,34555,Promotion of development awareness
Germany,Colombia,283,Higher education
Germany,Colombia,399,Higher education
Germany,Brazil,358440,Primary education
Germany,Brazil,135538,Rural development
Germany,Brazil,2907,Promotion of development awareness
Germany,Chile,849,Higher education
Germany,Brazil,6703,Government administration
Germany,Chile,1698,Higher education
Germany,Colombia,52800,Multisector education/training
Germany,India,2829507,Infectious & Parasitic disease control
Germany,India,3961,Secondary education
Germany,India,1061,Higher education
Germany,India,32999,Rural development
Germany,India,2900,Social/ welfare services
Germany,India,3209,Multisector aid
Germany,Thailand,38218,Research/scientific institutions
Germany,Thailand,18646,"Education, level unspecified, purpose unspecified or does not fit under any other applicable codes"
Italy,Brazil,25040,Social/ welfare services
Italy,Brazil,136473,Early childhood education
Italy,Brazil,43419,Radio/television/print media
Italy,Colombia,3746,Higher education
Italy,India,98939,Health personnel development
Italy,India,28268,Vocational training
Italy,India,106733,Basic health infrastructure
Norway,Brazil,44723,Agricultural development
Norway,Colombia,60502,"Civilian peace-building, conflict prevention and resolution"
Norway,India,100837,Basic health care
Norway,India,8168,Basic health care
Portugal,Brazil,9194,Bio-diversity
Sweden,South Africa,44369,Sectors not specified
United Kingdom,South Africa,249512,Urban development and management
United Kingdom,Brazil,198845,Environmental research
United Kingdom,Colombia,214070,Higher education
United Kingdom,India,230395,Business support services and institutions
Finland,Colombia,13963,Sectors not specified
Ireland,South Africa,272421,STD control including HIV/AIDS
Finland,India,59919,Information and communication technology (ICT)
Ireland,South Africa,108968,Basic health care
Luxembourg,India,34686,Multisector aid for social services
Greece,Brazil,8654,Higher education
Austria,South Africa,32431,Higher education
Spain,Brazil,9967,Culture and recreation
Spain,Brazil,181013,Culture and recreation
Spain,Brazil,15817,Sectors not specified
Spain,Brazil,15850,Sectors not specified
Belgium,South Africa,23822,Agricultural policy and administrative management
Spain,Brazil,24157,Culture and recreation
Spain,Brazil,563746,Sectors not specified
Austria,South Africa,5783,Primary education
Spain,Brazil,15602,Social/ welfare services
Spain,Brazil,2114,Medical services
Spain,Brazil,136078,Culture and recreation
Spain,Brazil,1589058,Social/ welfare services
Spain,Chile,1174,Medical research
Spain,Chile,16421,Sectors not specified
Spain,Chile,85689,Forestry services
Spain,Chile,17893,Basic nutrition
Spain,Colombia,2870,Higher education
Austria,South Africa,15887,Secondary education
Spain,Colombia,126843,Urban development and management
Spain,Colombia,6750,Higher education
Austria,South Africa,2618,Health policy and administrative management
Austria,South Africa,20240,Population policy and administrative management
Austria,South Africa,2169,Social/ welfare services
Austria,South Africa,4337,Sectors not specified
Austria,South Africa,22843,Social/ welfare services
Austria,South Africa,20224,Multisector aid
Austria,South Africa,20060,Multisector aid
Austria,South Africa,475646,Legal and judicial development
Austria,South Africa,287722,Vocational training
Austria,South Africa,72287,Social/ welfare services
Spain,Colombia,704682,Strengthening civil society
Spain,Colombia,73352,Basic life skills for youth and adults
Belgium,South Africa,7238,Industrial development
Spain,Colombia,11275,Strengthening civil society
Spain,Colombia,70468,"Civilian peace-building, conflict prevention and resolution"
Spain,Colombia,14497,Sectors not specified
Spain,Colombia,145736,Economic and development policy/planning
Austria,Brazil,9043,Education policy and administrative management
Spain,Colombia,140267,Economic and development policy/planning
Belgium,South Africa,134612,Agricultural policy and administrative management
Spain,Colombia,1550,Multisector education/training
Spain,Colombia,634,Social/ welfare services
Spain,Colombia,49194,Social/ welfare services
Spain,Colombia,123323,Sectors not specified
Spain,Colombia,422809,Social/ welfare services
Spain,Colombia,281873,Basic nutrition
Austria,Colombia,7846,Social/ welfare services
Austria,Brazil,59965,Agricultural development
Austria,Brazil,59965,Strengthening civil society
Austria,Brazil,59965,Environmental policy and administrative management
Austria,Brazil,80238,Strengthening civil society
Austria,Brazil,117079,Biosphere protection
Austria,Brazil,62226,Biosphere protection
Austria,Brazil,16373,Biosphere protection
Austria,Brazil,22698,Biosphere protection
Austria,Brazil,23498,Biosphere protection
Austria,Brazil,23073,Biosphere protection
Austria,Brazil,18072,Multisector aid
Austria,Brazil,49971,Strengthening civil society
Austria,Brazil,59965,"Agricultural services, purpose"
Austria,Brazil,59965,Agricultural development
Austria,Brazil,4997,Environmental policy and administrative management
Austria,Brazil,14457,Biosphere protection
Austria,Brazil,9686,Primary education
Austria,Brazil,1446,Water resources policy and administrative management
